ERP CODE;;BARCODE;ITEM DESCRIPTION;LOT DESCRIPTION & COMMENTS;CATEGORY;QTY NOW AVAILABLE;PRICE;ITEM INFO;YOUR ORDER;PUBLISHER;WEIGHT (in Kg);VOLUME (in M3);Our margin;TOTAL PRICE;;
040473;B07B5Y6THW;889698325592;POP! Star Wars: Movie Moments - Clash on the Supremacy (Kylo & Praetorian Guard) #265 Vinyl Bobble-Heads Figures;EN,FR,ES,DE,IT,PT,NL,DK,SE,RU / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;48;22,03 _;;;FUNKO;0,520;0,006942;24,23 _;30,05 _;;
020202;B00S16BRM0;3700789293002;NINTENDO - GREEN 1UP MUSHROOM PLUSH TOY (35cm);EN, FR, ES, DE, IT, NL PACK / PLASTIC BAG;GAMING;12;21,50 _;;;TOGETHER;0,567;0,036992;23,65 _;29,33 _;;
024338;B01BKLS4H8;8718526521894;UNCHARTED 4 - PRO DEUS QVOD LICENTIA SWEATER - SIZE M (SW302031UNC-M);EN,FR,DE,NL,SE,FI,ES,PT,GR,SL PACK / PLASTIC BAG;GAMING;10;21,45 _;;;Bioworld Europe;0,440;0,004950;23,60 _;29,26 _;;
024336;B01BKLRZ4G;8718526521900;UNCHARTED 4 - FOR GOD AND LIBERTY SWEATER - SIZE XL (SW302030UNC-XL);EN,FR,DE,NL,SE,FI,ES,PT,GR,SL PACK / PLASTIC BAG;GAMING;12;21,45 _;;;Bioworld Europe;0,490;0,004950;23,60 _;29,26 _;;
027230;B01CCL7Z0W;039897967691;STAR WARS CLONE TROOPER ACTION FIGURE (50cm);EN,FR PACK / CARTON WINDOW BOX WITHOUT PLASTIC FILM;TV & MOVIES;33;21,00 _;;;JAKKS PACIFIC;0,606;0,008280;23,10 _;28,64 _;;
022232;B01BH6AG7M;634482449462;Uncharted 4 - Ultimate Nathan Drake Action Figure (18cm);ENGLISH PACK / CARTON BOX;GAMING;28;21,00 _;;;NECA;0,276;0,002444;23,10 _;28,64 _;;
023724;B016ZNS1Q0;039897996578;STAR WARS C-3PO GOLD ACTION FIGURE (45cm);EN , FR PACK / CARTON WINDOW BOX WITHOUT PLASTIC FILM;TV & MOVIES;25;21,00 _;;;JAKKS PACIFIC;0,578;0,009055;23,10 _;28,64 _;;
034100;B078PF1XXP;889698270236;POP! Star Wars: Chewbacca with AT-ST #236 Vinyl Figure;EN,FR,ES,DE,IT,PL,NL,DK,SE,RU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;OTHER;59;20,93 _;;;FUNKO;0,466;0,003984;23,02 _;28,55 _;;
034106;B07775J7G5;889698284561;POP! Rides: Rick and Morty - Mad Max Rick #37 Vinyl Figure;EN,FR,ES,DE,IT,PL,NL,DK,SE,RU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;88;20,93 _;B07CGNQV8W;;FUNKO;0,572;0,008071;23,02 _;28,55 _;;
033164;B076575XHJ;889698248204;POP! Rides: 007 - James Bond Sean Connery with Aston Martin DB5 #44 Vinyl Figure;EN,FR,ES,DE,IT,PL,NL,DK,SE,RU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;10;20,93 _;;;FUNKO;0,438;0,006720;23,02 _;28,55 _;;
033261;B072Z24CWD;889698201063;POP! Star Wars: Tie Fighter Pilot with Tie Fighter #221 Vinyl Bobble-Head Figure;EN,FR,IT,DE,ES,PT,DK,SE,NL,PL,TR,GR,HU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;74;20,93 _;;;FUNKO;0,282;0,003150;23,02 _;28,55 _;;
033487;B07797JX1J;8718526230475;Quake - Messenger Bag (MB361104QUK);ENGLISH LABEL / PLASTIC BAG;GAMING;2;20,88 _;;;Bioworld Europe;0,500;0,007920;22,97 _;28,48 _;;
043452;B07FDVGW23;5060576842836;Spyro - Presentation Box with Collectible Pin;EN,FR,IT,DE,ES PACK / CARTON BOX;GAMING;10;20,77 _;;;NUMSKULL;0,216;0,000573;22,85 _;28,33 _;;
043451;B07FDMXLPN;5060576842843;Spyro - Pin Badges Chest Box Set (Inc. 12 pins);EN,FR,IT,DE,ES PACK / CARTON BOX;GAMING;13;20,77 _;;;NUMSKULL;0,290;0,002288;22,85 _;28,33 _;;
039499;B07FLGJWBR;5060576841686;PlayStation - PS4 Leather Wallet;EN,FR,IT,DE,ES LABEL / CARTON HOLDER;RETRO;8;20,38 _;;;NUMSKULL;0,084;0,000267;22,42 _;27,80 _;;
020638;B00XOUB4IU;039897949437;STAR WARS - THE FORCE AWAKENS CAPTAIN PHASMA LARGE ACTION FIGURE (50cm);EN, FR PACK / CARTON HOLDER;TV & MOVIES;12;20,20 _;;;JAKKS PACIFIC;0,756;0,009317;22,22 _;27,55 _;;
